file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,0a22f90b,JerpBob,2025-01-10,15:22:22,-08:00,2025-01-10T15:22:22-08:00,0,5
style.css,2,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,44
style.css,3,css,0a22f90b,JerpBob,2025-01-10,15:22:22,-08:00,2025-01-10T15:22:22-08:00,0,43
style.css,4,css,0a22f90b,JerpBob,2025-01-10,15:22:22,-08:00,2025-01-10T15:22:22-08:00,0,1
style.css,5,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,24
style.css,6,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,16
style.css,7,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,19
style.css,8,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,12
style.css,9,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,10,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,11,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,6
style.css,12,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,32
style.css,13,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,14,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,15,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,5
style.css,16,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,24
style.css,17,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,0
style.css,18,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,0
style.css,19,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,4
style.css,20,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,40
style.css,21,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,13
style.css,22,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,18
style.css,23,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,18
style.css,24,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,24
style.css,25,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,26
style.css,26,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,40
style.css,27,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,28,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,29,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,9
style.css,30,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,19
style.css,31,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,26
style.css,32,css,0196775e,JerpBob,2025-01-24,18:00:58,-08:00,2025-01-24T18:00:58-08:00,0,39
style.css,33,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,34,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
style.css,35,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,2
style.css,36,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,7
style.css,37,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,18
style.css,38,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,21
style.css,39,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,14
style.css,40,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,19
style.css,41,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,20
style.css,42,css,b8a0953e,JerpBob,2025-01-24,13:51:30,-08:00,2025-01-24T13:51:30-08:00,0,0
